onset,duration,trial_type,response_time,word,response,correct_resp,gender,age,sub,ses,run,year,month,day,hour,minute
590.9929643999785,0.6977313000243157,word_pos,0.8055855000857264,spring,y,0.0,male,21.0,101,1,5,2023,3,23,11,31
7.299095000023954,0.6862138999858871,image_neg,0.669898199965246,business,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
17.298856000066735,0.686475700000301,image_neg,0.6368613999802619,ricochet,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
24.698992400080897,0.6862813999177924,image_pos,0.4202621999429539,vacation,y,0.0,male,21.0,101,1,2,2023,3,23,10,50
34.697643400053494,0.6877011000178754,image_neg,0.7217222999315709,nose,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
47.297472600010224,0.6880115000531077,image_pos,0.4551766000222415,spaghetti,y,0.0,male,21.0,101,1,2,2023,3,23,10,50
57.2974913000362,0.6882205000147223,image_neg,0.7051888999994844,theory,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
67.29748340009246,0.6881962999468669,image_pos,0.5220807999139652,joke,y,0.0,male,21.0,101,1,2,2023,3,23,10,50
77.29765279998537,0.6882034000009298,image_pos,0.5888916000258178,restaurant,y,0.0,male,21.0,101,1,2,2023,3,23,10,50
84.69754580000881,0.6883809000719339,image_neg,0.7721393000101671,hoe,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
94.69759460003117,0.6883015000493913,image_pos,0.8221701000584289,musical,y,0.0,male,21.0,101,1,2,2023,3,23,10,50
104.698076800094,0.6879430999979235,image_pos,0.4883474999805912,optimism,y,0.0,male,21.0,101,1,2,2023,3,23,10,50
117.29770910006482,0.6883534999796979,image_pos,0.6389080999651924,luck,y,0.0,male,21.0,101,1,2,2023,3,23,10,50
127.29763660009483,0.6886725999647894,image_neg,0.7556436999002472,perjury,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
137.29807530005928,0.6882317999843508,image_neg,0.6386201999848709,axe,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
144.6980134000769,0.6883876000065356,image_neg,0.4888443999225274,lab,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
154.6984853000613,0.6880067000165582,image_pos,0.721928899991326,power,y,0.0,male,21.0,101,1,2,2023,3,23,10,50
167.29818729998078,0.6883822000818043,image_pos,1.0557766000274569,attribute,y,0.0,male,21.0,101,1,2,2023,3,23,10,50
177.29895610001404,0.6877024000277743,image_pos,0.4215269000269472,day,y,0.0,male,21.0,101,1,2,2023,3,23,10,50
184.69845410005647,0.6882516000187309,image_pos,1.0221775999525562,speech,y,0.0,male,21.0,101,1,2,2023,3,23,10,50
194.69842490006704,0.6883999999845685,image_neg,0.9556206000270322,pan,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
207.29836880008224,0.6885903999209688,image_neg,0.8558145000133663,angry,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
214.69844559999183,0.6885969000868499,image_pos,0.4389721000334248,chicken,y,0.0,male,21.0,101,1,2,2023,3,23,10,50
227.29851190000767,0.6885714000091241,image_neg,0.3889883999945596,cough,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
237.29887579998467,0.6882929001003788,image_pos,0.4889371000463143,artist,y,0.0,male,21.0,101,1,2,2023,3,23,10,50
244.69856170006096,0.6887179999612272,image_neg,0.5060886000283062,verb,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
257.2987436000258,0.688556500012055,image_neg,0.7226471999892965,sick,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
267.299118700088,0.6883230999810621,image_pos,0.6554463999345899,sailboat,y,0.0,male,21.0,101,1,2,2023,3,23,10,50
277.29894620005507,0.6885670999763533,image_neg,0.6723717999411747,store,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
284.6994000000413,0.6882404000498923,image_pos,0.5887213000096381,monkey,y,0.0,male,21.0,101,1,2,2023,3,23,10,50
297.299391400069,0.6884673999156803,image_pos,0.6554830999812111,fireworks,y,0.0,male,21.0,101,1,2,2023,3,23,10,50
304.6993122000713,0.6883411000017077,image_pos,0.4389188999775797,street,y,0.0,male,21.0,101,1,2,2023,3,23,10,50
317.299307600013,0.6885487000690773,image_neg,0.755716499988921,apartment,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
327.29932610003743,0.6886938000097871,image_neg,0.9057279999833554,eggplant,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
334.70249260007404,0.6856399999232963,image_neg,0.652660199906677,whole,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
344.7000733000459,0.6879683999577537,image_neg,0.5552086000097916,landslide,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
354.6999848000705,0.6882226999150589,image_pos,0.605451799929142,winter,y,0.0,male,21.0,101,1,2,2023,3,23,10,50
367.2998749000253,0.6883127000182867,image_neg,0.440115200006403,jaw,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
377.300470200018,0.6878982000052929,image_neg,0.4384276999626308,tired,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
387.299851900083,0.688642599969171,image_neg,0.8224807999795303,plea,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
394.7000252000289,0.6885418000165373,image_neg,0.6890401999698952,heavy,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
404.7000566000352,0.6885628999443156,image_neg,0.5889204000122845,office,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
414.7002829000121,0.6884174000006169,image_pos,0.705560400034301,highway,y,0.0,male,21.0,101,1,2,2023,3,23,10,50
424.7001728999894,0.6886011000024155,image_neg,0.4890239000087604,stone,b,0.0,male,21.0,101,1,2,2023,3,23,10,50
